School "1st year MBA GPA" "Verbal GMAT" "Quant. GMAT" "Undergrad. GPA"
1  3.155  31  37  3.53 
1  3.665  38  40  3.38 
1  3.685  35  36  3.71 
1  3.305  41  25  3.15 
1  3.065  36  42  3.54 
1  3.100  43  43  3.59 
1  4.130  46  48  4.00 
1  3.165  42  37  2.63 
1  2.605  33  28  3.09 
1  3.640  28  40  3.39 
1  2.240  35  28  3.14 
1  2.920  36  38  3.25 
1  3.070  37  32  2.09 
1  2.805  41  38  2.86 
1  3.400  40  31  3.78 
1  3.630  35  32  4.00 
1  2.500  38  40  3.27 
1  3.645  44  46  2.87 
1  3.085  44  36  3.01 
1  4.130  47  32  2.84 
1  3.360  37  43  2.41 
1  2.805  38  33  3.41 
1  3.530  37  41  3.57 
1  3.600  40  34  3.16 
1  3.660  28  44  3.25 
1  2.400  37  32  3.00 
1  2.775  40  37  3.28 
1  3.075  38  46  3.09 
1  3.645  39  50  3.63 
1  3.940  39  41  3.87 
1  2.550  30  26  3.02 
1  2.950  39  32  3.52 
1  3.950  40  34  3.63 
1  3.565  44  42  3.89 
1  3.135  25  38  3.57 
1  3.715  35  32  3.65 
1  3.635  40  37  3.27 
1  3.030  36  33  3.05 
1  3.580  27  37  3.22 
1  3.125  33  40  2.67 
1  3.000  34  38  2.65 
1  3.885  33  40  3.73 
1  2.610  44  42  3.50 
1  2.900  32  30  3.66 
1  3.105  44  40  3.09 
1  3.205  34  33  3.29 
1  3.115  39  42  2.47 
1  3.135  30  35  3.43 
1  2.750  30  38  2.49 
1  3.715  32  38  3.94 
1  3.080  35  33  3.38 
1  2.870  38  31  2.78 
1  2.970  29  31  3.70 
1  2.935  39  36  3.47 
1  2.240  35  44  2.22 
1  3.935  42  42  2.89 
1  2.695  37  31  3.04 
1  3.520  37  42  2.42 
1  2.700  36  40  3.06 
1  2.595  44  35  2.15 
1  3.205  38  46  2.68 
1  3.565  33  36  3.53 
1  3.385  44  38  3.40 
1  3.275  36  35  3.09 
1  2.660  32  36  2.83 
1  3.335  38  37  3.09 
1  2.675  37  32  3.12 
1  3.325  38  33  3.24 
1  2.570  33  37  3.15 
1  2.895  32  30  2.99 
1  3.985  33  40  3.76 
1  3.235  37  31  3.47 
1  3.810  38  47  2.88 
1  3.915  35  39  3.97 
1  2.615  34  39  3.12 
1  3.115  36  35  3.39 
1  2.985  45  43  3.04 
1  2.835  34  36  2.93 
1  3.365  37  33  2.97 
1  2.850  39  32  3.46 
1  3.805  35  39  3.60 
1  3.000  32  34  3.51 
1  2.675  33  38  3.00 
1  2.565  30  33  2.40 
1  3.750  39  52  2.83 
1  2.515  33  33  2.82 
1  2.955  36  43  3.17 
1  3.095  32  40  3.24 
1  2.720  42  30  3.55 
1  3.030  33  39  3.23 
1  3.050  30  33  3.03 
1  3.630  31  46  3.25 
1  3.885  29  37  3.63 
1  3.600  37  47  3.33 
1  3.195  38  33  3.59 
1  2.650  34  32  3.19 
1  3.810  45  47  3.73 
1  3.640  41  40  3.68 
1  3.535  49  41  3.45 
1  3.685  44  43  3.67 
1  2.690  38  38  3.28 
1  3.275  39  34  3.88 
1  2.585  24  38  3.67 
1  2.985  42  39  3.50 
1  2.950  42  26  2.67 
1  3.890  44  46  2.91 
1  3.430  37  37  3.32 
1  2.735  33  35  3.51 
1  3.440  43  47  3.19 
1  2.765  38  31  3.03 
1  3.345  32  31  3.57 
1  3.155  37  33  3.21 
1  3.000  34  40  3.68 
1  3.050  30  43  3.13 
