"<9th grade/1000" "9-12th grade/1000" "High Sch grad/1000" "College:no deg/1000" "Associate deg/1000" "Bachelor's deg/1000" "Advanced deg/1000" "Total/1000"// state
362.434 597.455 875.703 575.123 146.228 281.466 142.177 2980.586 // Alabama 
17.4 36.427 114.864 107.368 25.518 50.797 25.981 378.355 // Alaska 
224.662 368.279 708.34 724.228 173.801 325.575 161.56 2686.445 // Arizona 
234.071 328.69 571.252 323.016 62.246 143.038 67.144 1729.457 // Arkansas 
2352.017 3114.969 5080.909 5246.699 1649.596 3052.702 1523.65 22020.542 // California 
124.477 270.56 654.51 630.445 161.331 402.917 190.168 2434.408 // Colorado 
190.812 329.544 758.784 457.909 163.084 393.514 243.686 2537.333 // Connecticut 
32.554 77.912 166.787 97.496 30.529 64.555 33.328 503.161 // Delaware 
42.532 86.348 107.004 89.999 14.316 78.581 71.496 490.276 // District_of_Columbia 
883.82 1706.839 3045.682 2054.574 682.005 1133.053 567.453 10073.426 // Florida 
506.355 856.219 1436.279 895.296 226.611 566.481 260.325 4747.566 // Georgia 
73.009 83.534 255.821 181.717 65.15 117.888 50.885 828.004 // Hawaii 
46.885 97.537 211.976 182.517 50.331 77.768 31.898 698.912 // Idaho 
786.815 1203.134 2531.465 1817.238 490.791 1101.193 552.145 8482.781 // Illinois 
310.403 673.362 1530.741 775.605 212.379 360.087 224.057 4086.634 // Indiana 
167.1 231.804 767.097 412.121 158.628 227.676 92.985 2057.411 // Iowa 
125.426 214.082 587.713 440.415 98.464 239.238 110.234 1815.572 // Kansas 
456.107 467.956 881.795 476.362 108.409 209.055 129.994 2729.678 // Kentucky 
391.63 534.57 951.832 586.477 94.409 288.154 143.624 2990.696 // Louisiana 
72.261 120.944 342.18 165.855 61.092 107.48 48.816 918.628 // Maine 
257.518 514.788 1044.976 744.604 182.465 532.883 342.012 3619.246 // Maryland 
332.38 576.338 1390.157 866.856 325.207 746.818 427.284 4665.04 // Massachusetts 
468.027 1104.285 2181.87 1555.472 443.05 701.749 379.121 6833.574 // Michigan 
243.099 317.676 1035.074 698.579 270.426 467.835 174.501 3207.19 // Minnesota 
250.385 376.348 507.596 354.29 95.075 163.214 78.937 1825.845 // Mississippi 
391.097 578.44 1251.55 785.555 170.146 420.521 204.294 3801.603 // Missouri 
42.416 68.971 190.896 138.693 31.337 74.9 29.065 576.278 // Montana 
81.69 124.792 388.54 272.981 80.956 141.231 59.008 1149.198 // Nebraska 
52.396 148.061 290.289 238.719 52.452 83.864 41.293 907.074 // Nevada 
49.691 100.69 265.731 166.385 64.025 126.495 57.112 830.129 // New_Hampshire 
504.767 859.652 1861.559 1030.409 307.871 905.111 462.155 5931.524 // New_Jersey 
109.677 159.271 314.026 239.651 51.443 117.742 76.82 1068.63 // New_Mexico 
1253.564 2137.921 4039.081 2460.875 898.068 1758.212 1186.433 13734.154 // New_York 
557.739 892.459 1496.296 958.965 324.173 559.144 231.368 5020.144 // North_Carolina 
59.991 42.139 127.729 111.043 45.633 58.403 18.181 463.119 // North_Dakota 
564.724 1364.249 2897.217 1550.014 412.18 843.399 411.536 8043.319 // Ohio 
201.228 375.155 706.003 539.511 113.434 253.635 119.774 2308.74 // Oklahoma 
122.513 283.409 613.983 561.176 139.269 267.161 130.403 2117.914 // Oregon 
762.906 1455.419 3476.455 1391.179 474.043 995.999 528.7 9084.701 // Pennsylvania 
75.918 131.078 229.27 141.535 47.991 99.704 51.963 777.459 // Rhode_Island 
303.694 479.916 776.053 466.145 152.671 267.365 118.811 2564.655 // South_Carolina 
59.299 51.686 165.111 106.184 36.317 57.149 21.313 497.059 // South_Dakota 
516.45 651.545 1120.764 693.711 147.173 359.948 171.938 3661.529 // Tennessee 
1492.112 1924.831 3153.187 2777.973 598.956 1530.849 673.25 12151.158 // Texas 
32.557 138.39 293.879 340.414 81.836 146.213 61.633 1094.922 // Utah 
31.912 47.261 144.468 74.749 29.266 59.593 31.929 419.178 // Vermont 
461.475 669.851 1297.714 969.191 244.488 676.71 363.602 4683.031 // Virginia 
183.405 429.693 1020.147 948.017 278.03 527.791 221.149 3608.232 // Washington 
202.162 240.506 493.079 209.114 50.985 96.372 57.053 1349.271 // West_Virginia 
301.124 451.202 1310.984 702.792 250.599 409.541 174.793 3601.035 // Wisconsin 
16.552 38.852 104.907 82.462 21.447 38.305 15.982 318.507 // Wyoming 
